FEN,Score
7R/1k2p3/4P3/8/1p1br1PP/1P6/K7/8 b - - 9 152,+3
8/1n6/5B2/2k5/1R6/P2pP3/8/2K5 b - - 7 109,-1035
4n3/2pp1pk1/rp3bp1/2n4r/4qR1P/2P2PN1/PP1P4/R1BK1Q2 w - - 2 25,+1177
2b2k2/8/7P/p5r1/P6K/8/8/8 b - - 0 117,+8
k7/5p2/1n1p1N2/r2p4/1P4P1/P1K2n1P/2P1PP2/4RBR1 b - - 13 51,+4
8/4K3/R7/4k3/8/8/8/2r5 b - - 1 222,0
8/8/6K1/1p6/1p3P1R/1kPr2R1/1B5P/8 w - - 0 90,+1327
rnb1kb1r/pppp1ppp/3p4/5n2/8/1P5q/PBPPPPPP/R2QKBNR w KQkq - 3 6,+1048
7K/4k3/p7/8/3Pp3/7b/1B2N3/6R1 w - - 29 123,+1192
8/1b1pk3/2p5/1p6/2PP4/2K1N3/1P4P1/5Rq1 w - - 2 57,+1043
8/2k5/8/8/R2p3P/8/5P2/1K3R2 b - - 0 95,-15
2R2K2/8/8/P7/8/5k2/8/8 w - - 15 216,+9
8/4k1K1/8/8/7p/7P/8/8 w - - 74 277,0
6K1/8/8/8/5B1p/Q7/8/5k2 b - - 14 168,-5
8/p1pp2p1/2n2p2/5Nbr/1P2PkP1/5P1P/P1PPB2K/5RNR w - - 9 40,+1274
rn1qkb1r/ppp1p1pp/5n2/3p4/1P2b3/6P1/P1PPPP1P/RNQ1K1N1 w Qkq - 0 8,-1320
B2q4/k7/3p4/3P4/2b5/8/8/7K b - - 1 134,+3
8/8/7B/1p3k2/2P5/P2PP3/8/RKn5 b - - 4 78,-1144
3R4/8/1k6/3P4/P1P1P2p/7P/5P1K/8 w - - 1 130,+13
6K1/8/1p1k4/3P4/4P3/P1PR2P1/5P2/8 b - - 4 113,-1327
1r4k1/1p5p/p7/2n5/2P3BP/5K2/PPP2PP1/5RR1 b - - 0 68,-1105
8/3p2BN/3P4/2K1nk2/8/8/8/8 w - - 49 142,+1275
bK6/5k2/p2B4/8/1P6/P7/8/8 b - - 15 205,0
2bqkb2/rppppp2/p5pr/7p/2Pn2n1/PQ1P1N2/NP2PPPP/R1B1KB1R w KQ - 3 10,+621
5k2/p2pp3/2Pp4/5p2/2PP1p2/P4P1r/RP2K3/2BN1B2 w - - 1 47,+1327
8/1q2p2p/3n2pk/1pn5/2P4P/P3P3/1P1P1P1P/1RBK1B1R b - - 2 31,+803
8/7p/1k4r1/2p5/b1r5/8/P6P/2B1K3 b - - 5 93,+6
r1b2q1r/pp1pkp1p/1B1p1b2/8/2P2N2/3PnP2/P4PPP/R3KB1R w KQ - 8 24,-815
2B5/p1p3pr/1p3n1p/1k2n3/1P6/2P2Pb1/P2P3P/RNBKR3 w - - 1 38,+1172
k2K4/p7/P7/2N5/2P5/4P1P1/R2P1R1P/8 w - - 3 88,+2
R7/1P6/5k2/B7/P1K3P1/8/8/8 w - - 21 205,+4
3k4/p7/2p1p3/1r3N2/3P2qP/8/P1B1bP2/R1KQ1R2 w - - 2 52,+1035
r1bqkb1r/pppppp1p/5n2/n5p1/8/1QP1PPP1/PP1P3P/RNB1KBNR b KQkq - 0 5,+854
2k4r/p2pB3/1p3r1R/1K2n3/1P2P2P/5q2/P1P5/4R3 b - - 0 90,+4
rn5r/1ppp1pkp/p2N2p1/1q6/1P6/P1P1B1P1/3PP2R/1RQ1KB2 w - - 9 36,+1320
2q2r2/1p3p1N/3k2p1/2nr4/b2PPPN1/4B3/PPP3PP/1R2KBR1 w - - 1 49,+705
4k3/2pnpp1r/8/r2pn2p/8/PPK3PN/2P1PP1P/RN3BR1 w - - 5 25,+867
2k5/p2p3R/1p1B1r1p/1K2n3/4P3/6rP/PPP5/R2q4 w - - 28 84,+4
1rbqk2r/pppppp1N/1b4p1/8/1n6/N4PP1/P1PPP2n/R1BQKB1R b KQ - 1 13,+539
8/8/p1b1k1p1/6Pp/7P/8/8/B1K5 b - - 72 130,+2
6k1/4K3/8/7p/8/8/8/8 w - - 10 242,-1129
8/8/p3b1k1/2p5/NPP1p2K/P7/1R1P1P2/2B5 w - - 0 80,+1100
8/8/2P3k1/8/3KPP2/8/8/8 b - - 14 158,-8
rnbqkbnr/1ppppppp/p7/8/2N5/8/PPPPPPPP/R1BQKBNR b KQkq - 1 2,+94
8/3k4/p1b3p1/6Pp/7P/8/1K6/B7 w - - 75 132,-5
1r5q/1p2p1b1/pk6/n7/2Bp1P1B/1PN1P1P1/P1PPK2P/R2Q4 w - - 13 44,+860
4k3/8/1B2b2K/p7/P7/8/8/8 w - - 33 144,0
1r1qkbr1/p1pp3p/1p2pppn/8/3PP3/3B1N2/PPP1QPPP/RNB1K2R b KQ - 1 9,-1298
8/pqk5/4K3/1P3B2/P5r1/4P3/3R4/5r2 b - - 13 151,+4
2k5/1p6/p2p1qp1/1P6/2b2P2/P4PnP/2PP3K/2R3R1 w - - 9 55,-503
6K1/8/5k2/8/P7/8/8/3Q4 w - - 47 229,+4
8/4k3/2P5/5P2/3KP2p/7P/8/8 w - - 15 186,+8
8/1Bp1p3/3p3q/5k2/6r1/BPb1P1P1/Q2PR1KP/RN6 b - - 9 59,-1301
2k5/1p6/p2p2pq/1P1B4/5b2/Pb2PPnP/1RPP2K1/6R1 w - - 12 48,-38
8/1K1P1k2/8/7P/4p3/4P3/8/8 w - - 5 137,+6
3k4/6p1/pr1p2P1/3bp2P/7n/3P4/1B4nK/8 w - - 2 83,-1216
r7/2kp2p1/3r1PP1/8/p2P1P1P/P1P5/2P1K3/2R5 w - - 4 94,-430
7B/p6r/2P5/P7/N4k2/3P4/1P2P3/3K4 w - - 6 91,+1127
3N4/8/8/5P1K/1R6/2k1b2P/6PR/5B2 b - - 26 113,-1320
1k6/6K1/8/3R4/8/2p5/2P5/8 b - - 40 194,-13
4r1k1/1B3p2/p6p/1np1Pbr1/P1P5/1R1P2P1/8/1RBK4 b - - 1 73,-31
4k3/7q/p4p2/P1p2p1P/2P5/3P1K2/8/8 w - - 5 109,-10
4k1Q1/2pp2p1/5q2/N5r1/6n1/1P2P1P1/P1PP1P1P/R3K2R b Q - 0 33,-538
r1bqkbr1/ppppppp1/7p/3Pn3/6n1/2P2N1N/PP2PPPP/R1BQKBR1 b - - 4 9,+20
6r1/rbk2np1/pp1p4/4p1Pp/4P2P/P4KP1/RP1P4/1NB1n3 w - - 0 44,-933
5k2/5P2/2K5/8/8/8/8/8 w - - 5 243,0
rnb2k1r/pppp1ppp/8/4p1Q1/1P1bP1n1/3B4/P1PP1PPP/RNB1K1NR b KQ - 0 8,-862
4KR2/8/8/8/1p6/1P2k3/1P6/8 b - - 36 227,-1320
5R2/p4p1p/3b2R1/6N1/5P2/6KP/1rk1P1PR/5B2 b - - 1 72,-791
8/K5R1/1r2k3/8/8/8/8/8 b - - 27 235,0
2N5/pp6/5n2/1k3p2/7P/4P1P1/PPP1RP2/1R2Kb2 b - - 11 75,-1191
8/4bBkp/2bp1rP1/p7/P7/1P1P1P1K/2P1NP2/R3R3 w - - 11 61,+1116
3qkbnr/pBrp1p2/1pn1p1pp/8/8/4P3/PPPPKPPP/RNBQ3R w k - 0 9,+81
2r5/3p1rpp/pk2n2n/3bppP1/1b2P3/3PR2P/PPP2P2/1R1KB3 w - - 13 49,-505
8/3p4/2pP4/1p3p2/6k1/p1K5/8/8 b - - 13 159,+11
r1bqk1nr/ppnpppbN/2p4p/8/5Q2/4P3/PPPPBPPP/RNB1K2R w KQkq - 12 13,+125
3Q1br1/4p1pp/p2p1k2/n4n2/3P1p2/1N6/PPPBPPPP/1R2KB1R b K - 2 29,-1327
6n1/4p3/pp6/2Nrn1k1/P3Pr2/7P/1PPP1PP1/1RB1KR2 w - - 1 48,+1287
rnbqkbnr/pppppp1p/6p1/8/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,+31
k3r3/p2p4/4r3/8/2P2P2/8/1PB5/1RBK3R b - - 4 87,-947
1K6/5k2/8/2P5/5B2/8/8/8 b - - 28 135,-12
2n1k3/8/2P3P1/8/1K4B1/P6P/2P2P2/2R5 b - - 0 94,-1327
1rb3n1/pk1pr1pp/p3p3/1Nn2p2/5b2/4P2P/PPPPKPP1/R1B4R w - - 15 25,-812
1r3r1R/pppkpp2/n2p2p1/3bq3/4PPP1/1P1P3B/P1PKQ3/bN4N1 b - - 10 28,+1211
8/4k3/8/P4PK1/4P3/4P3/8/8 b - - 6 155,-1327
b3r3/2ppk1r1/3N1b1q/6P1/1P2Pn2/P7/R1PP3P/2B3K1 b - - 2 49,+3
1rbk1bn1/2qpppr1/p1B4p/4n3/6P1/2P5/PP1PPP1P/RNBQK2R w KQ - 3 11,-319
2k5/8/8/2P5/p7/P7/8/6K1 b - - 11 209,0
3b4/3p4/7k/8/2P3NP/8/5r2/1K4n1 b - - 2 107,+240
8/8/5P1k/1p2q3/P7/3K4/3P1R1P/R1B5 b - - 14 110,-452
8/r2p4/3P4/1pp2p2/7k/2K5/8/8 w - - 10 173,-9
r1b1k2r/pppq1pp1/4p1np/8/4P2P/P1N1BN2/P1P2PP1/R2QKB1R b KQq - 2 10,-1187
5r1b/3krp1p/3pb3/1R6/3P4/5PKP/5P2/6NR b - - 2 54,+690
8/5R1K/8/1p3R2/kp6/2P5/8/8 w - - 3 120,+8
8/1Bk1r2p/7p/7R/8/1P2P3/1PP2PPP/2N2K1R w - - 13 55,+1327
6B1/8/5b2/5P2/6K1/8/8/6kn b - - 7 198,+2
2B4q/5p2/8/4k3/8/3rP3/PPPb1P1P/R2K3R b - - 9 73,+3
8/6p1/1p3k2/1P1r4/2KP4/8/8/8 b - - 22 146,+15
8/1K6/2BPk3/8/8/8/8/8 b - - 53 207,0
3r2r1/1pp2kpp/p4n2/6B1/1b4b1/1qPP1PPP/PP2P1K1/R2Q3R b - - 2 52,+644
3k4/p7/1Np5/8/1r1P3P/5B2/3Q1P2/R1K2R2 b - - 2 66,-5
Q7/7k/8/8/3Pp1KP/8/4P3/8 w - - 1 118,+4
r1b1kb1r/ppqppp1p/2p5/B2n2Q1/3n4/3P1PP1/PPP1P2P/RN2KBNR b KQ - 0 12,+1034
1rbk2n1/1p1nb3/q2pp2r/p1p3N1/3P4/Q1P5/PP1KPPPP/RN3B1R w - - 15 32,-109
5K2/7Q/8/p7/P2k1P2/8/8/8 w - - 21 180,+9
k7/4Q3/8/1p6/5bPN/7B/P1PP4/R2K4 w - - 0 94,+2
8/7k/8/2P3P1/1P4r1/p7/P2PB3/2K5 w - - 21 117,+12
8/1K6/4k3/1P6/8/8/8/8 w - - 11 223,+15
8/7k/8/2P2P2/4PB1p/7P/4QK2/8 w - - 7 172,+3
8/8/2N5/5P1K/4R3/1k5P/5bPR/5B2 b - - 30 115,-9
N6k/8/8/2r5/P7/2PP4/4P3/5K1N b - - 0 123,-754
8/p7/6k1/pP6/4K3/8/8/8 b - - 9 131,+1
8/p1qkrB1p/b1p1p3/8/3P2PP/1P6/P2KPP2/RN1Q2R1 w - - 1 34,+1075
6R1/8/8/5B2/3kN3/1P6/1PP2PPP/4K2R b - - 28 84,-6
8/1pp1k3/p7/r1b3p1/3P1P2/PPR5/2P1N3/R4K2 b - - 3 80,-842
8/2k5/3p1q2/8/6K1/8/B7/8 w - - 7 159,-1281
rn3k1b/p1p1pprp/6p1/3b4/1K1Pn3/3B2Pq/PPP1PP1P/RNBQ2NR b - - 12 21,+626
6R1/8/4k3/8/1P2B3/8/1PP2PPP/5K1R w - - 17 135,+8
8/3R4/1p6/7r/7q/3Pk1N1/KN6/7B b - - 11 117,+443
8/3r4/2bp4/5kp1/8/8/8/b1K5 b - - 35 161,+7
8/1r2p2p/4nkb1/pp2R3/P5nq/1Pb5/3PPPP1/1R2KB2 w - - 2 48,-5
rnbqkb1r/pppppppp/8/6N1/6n1/3P4/PPP1PPPP/RNBQKB1R b KQkq - 2 3,+18
r6k/p1pp1pr1/5P2/1p4p1/5PP1/q7/2PP4/2R3K1 b - - 3 69,+4
4k3/6K1/8/6n1/1P6/p7/8/8 w - - 11 207,-1140
3R4/7r/1p6/8/7q/3Pk1N1/KN6/7B b - - 13 118,+881
4k3/8/p2p4/7P/4b2n/3P3K/6n1/1rB5 w - - 0 96,-1095
4R3/6B1/2K5/3P2k1/p7/8/8/5b1N w - - 14 166,+1267
5k2/p7/7r/1bpK4/3n1B2/P2P1P2/1PP3B1/1R6 b - - 0 93,-395
2b5/1p1p1pr1/4kq1p/2p2p2/3Pp3/2n5/PP1P1PPP/1RB1KBR1 w - - 1 29,-214
7r/6k1/7p/1P6/R2P4/4P3/P1P2P1P/3NK3 b - - 5 93,-1283
3k4/6K1/p7/8/Pp2p3/4R3/3P1P2/2B5 w - - 8 105,+1320
8/8/4k3/7P/RpP3p1/3r4/8/4K3 w - - 6 131,+1
rnbqk2r/ppp2ppp/5n2/3p4/3Q4/b1N3PN/PPPBPP1P/R3KB1R b KQkq - 6 7,+159
b5k1/8/4PK2/7p/p7/1P4P1/8/8 w - - 2 104,0
1k6/8/6R1/8/p1P1P1P1/5PPB/8/2K5 w - - 1 108,+18
1qb1kbn1/3pppr1/p6p/1r2n3/4B1PP/2P5/PP1PPP2/RNBQKR2 w Q - 5 14,-135
8/k7/8/7P/3P1R2/P5P1/8/6K1 w - - 22 156,+6
b2nk3/p4p2/3p4/1p4P1/3PP3/2B1RP2/8/4K2N w - - 7 68,+856
b4k2/8/4P1K1/p6p/8/1P4P1/8/8 b - - 1 102,+1153
R1k1b1r1/7p/8/8/2K5/8/8/8 b - - 0 155,+501
r1bq1b1r/1p1kp1pp/n4p1n/p1p5/2pN4/4P3/PPPP1PPP/1RBQKBR1 b - - 1 9,+961
8/5k2/3B4/p7/PP6/8/3P4/4K3 w - - 0 127,+1327
3K4/3b3k/p7/2B5/1PP5/P7/8/8 w - - 39 195,+1327
rnbqkb1r/pppppppp/7n/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq - 1 2,+88
6k1/8/8/5K2/3R1P2/7P/2P5/8 w - - 22 167,+3
r1bqkbr1/ppppp2p/n3Qppn/8/8/4P3/PPPP1PPP/RNB1K1NR w KQq - 4 6,-626
5B2/8/6k1/p6N/PP6/R7/3Pb3/4K3 b - - 3 108,-1105
8/8/5k2/1N6/2P5/2K1PP1R/8/8 w - - 40 132,+7
8/8/5P1k/1p2q3/P2K4/8/3P1R1P/R1B5 w - - 13 110,+5
6b1/8/8/k2p4/P2P3K/4P3/8/8 b - - 4 151,+1081
8/K7/5kp1/P1P5/1P6/4bPP1/7P/8 w - - 0 100,+1327
8/p2K4/P4k2/R3q2p/8/2P5/1P6/8 b - - 1 138,+10
2R5/pp4pp/2P1rpk1/1K6/7P/4PbP1/PPP5/R6n w - - 6 77,+11
8/2b3p1/1p6/1P1k4/P7/2R5/3P2r1/1K6 w - - 10 116,+6
7B/3k3n/4R3/p7/2P4P/3P1P2/PP2PKP1/5B2 b - - 1 70,-1320
2R5/7K/p2k4/8/4P3/8/6P1/r3N2R b - - 1 156,-1254
6K1/8/8/8/6k1/8/7p/8 b - - 8 185,+6
8/1K1P1k2/8/8/1p6/1P6/1P6/8 b - - 10 200,-1327
7k/p7/8/5b2/1K6/PPP1B3/2R5/7B b - - 11 128,-1149
rk6/p2pp3/b4r1K/4b1p1/P3Pn2/8/1PPP1PPP/R1B1Q1R1 w - - 1 31,-3
8/6R1/5K2/P7/8/8/5k2/8 b - - 34 233,-8
rk6/2pp1R1p/ppq4b/8/bP3Nr1/B7/2PPPP1P/3QKB1R b - - 0 32,+372
8/5k2/8/8/2P5/4K3/8/8 b - - 9 345,-1
5k2/8/1N6/1PPp4/7r/3PP1P1/1n1B4/4KB2 b - - 0 79,-1220
8/1p4k1/p1r5/7K/P4p2/8/2P5/8 w - - 0 107,-1281
5r2/p3p1k1/7R/P7/2P3P1/7N/1P1PP1b1/1NB1KB2 w - - 5 59,+1327
8/2Q5/8/1k1K4/8/8/8/8 b - - 34 244,-4
8/4K2k/P7/8/8/8/8/8 b - - 8 324,-9
1Qb4k/1p3p1r/p2bp1pB/2P2q1p/2N1P3/P2P4/NPn3PP/1R3BKR b - - 12 32,-570
4k3/p1p5/q7/1PP4b/1P1P1PR1/4P2R/1K1n4/8 w - - 0 105,+1166
1rbqkbnr/ppppp1pp/5p2/n3B3/8/1P4PN/P1PPPP1P/RN1QKB1R b KQk - 0 5,+542
3K4/6k1/P7/8/8/8/3B4/8 w - - 3 180,+6
rnq2b1r/1pp1pkpp/p3bN2/8/N7/6P1/PPPPPPnP/R1B1QRK1 w - - 3 16,-488
8/5K2/8/6k1/8/2P5/8/8 w - - 5 214,+18
3R4/6pp/p1k5/2p5/2Pr4/P1b3P1/1P2PP1q/2RK4 w - - 29 58,-1072
8/6k1/2KN4/2P5/3P1n2/8/8/4q3 w - - 32 157,-874
3k4/8/5K2/4Q3/8/6B1/8/8 b - - 30 199,-2
1r6/1p1k1ppp/2n2q2/2bp4/r5bN/N2P4/PPPQPPPP/R3KB1R w KQ - 2 15,-321
6q1/4p2p/3n4/1pn2B2/2P4k/PP2P2P/3P1P1R/1RB1K3 b - - 6 44,+727
8/2P5/8/K7/8/8/7k/8 b - - 2 246,-11
K5n1/7k/p7/3P3P/8/8/b6n/r1B5 w - - 35 141,-830
3r4/8/3PP1k1/5pP1/5P2/7P/8/4K3 w - - 3 132,+1248
7N/4p2p/4k3/p1q2n2/6P1/2pKP1R1/PP1B1P1P/R7 w - - 13 57,+666
k7/8/4K3/8/7p/7P/8/8 b - - 15 247,0
8/3R4/8/P1b2p1k/4P2p/8/6K1/5B2 w - - 16 131,+1159
1r6/2p2p1p/8/B7/1P4Pk/4P3/P1PP1P1P/RN2KB1R b KQ - 2 48,-1327
k7/8/8/2K5/8/1P5p/8/8 b - - 1 191,+1150
5R2/6k1/3K4/P7/1p6/N1P1n2P/1Pb2P2/8 w - - 11 110,+1314
K3k3/3R4/6p1/3p1P1p/1r1BP2P/N7/1P6/8 w - - 3 109,+1294
8/8/3p3k/p1B2P2/P2N4/3P3P/1PP2K2/3R2r1 b - - 10 93,-1205
8/8/6K1/3P4/6k1/2P5/3Q4/8 w - - 0 276,+3
r1bqk2r/p1Qpb1pp/p3p2n/2n2p2/8/4P3/PPPP1PPP/RNB1KR2 b Qq - 0 14,+1327
r1bNk2r/Npppp3/6p1/4n2p/3P1b2/2P1P3/PP3PPP/R1BK1B1R w - - 1 19,+976
8/1R6/2K1k3/8/8/4r3/8/8 b - - 21 232,0
8/8/k2N3R/5B2/8/1P6/1PP2PPP/4K2R w - - 17 79,+5
8/1ppb1r2/1P1p2pk/3P4/5b2/2K5/8/8 b - - 14 74,+13
rnbqkb1r/pppppp1p/6pn/8/8/3PB3/PPP1PPPP/RN1QKBNR w KQkq - 0 3,0
1rb1k3/pq2p1r1/5npp/8/5Q2/4P1P1/PPPP1P1P/RNBK1BR1 b - - 0 21,-911
8/p7/P1K1k1q1/R6p/8/8/1P6/8 b - - 13 147,+1201
8/8/4Bk2/8/8/3p4/8/5K2 w - - 0 204,0
7r/1pkBp1b1/p3q3/n7/N2p1P1B/1P2P1P1/P1PPK2P/R3Q3 b - - 24 49,-268
8/1pR3b1/3p2pk/3P4/4K3/r7/8/5b2 w - - 5 93,-6
5k1r/p1pp1pNp/1Nn5/2b5/1P1n4/5q2/PBPPPPPP/R2QKB1R w KQ - 1 27,+1327
8/5k2/8/1B2R3/8/1P6/1PP2PPP/4K2R w - - 12 107,+7
8/2k4K/8/P2B4/5P1p/1P5P/8/8 w - - 21 164,+15
3K4/8/8/Q5R1/8/8/5k2/8 b - - 52 288,-5
8/2k5/8/8/3P3K/8/8/8 b - - 5 217,-1
rnbk1b1r/pp1pppp1/4R3/5n1p/1P5P/q1P2P2/1R1PP1P1/1NBQKB2 w - - 0 22,+532
r6k/2pp2p1/1p3b2/1p1q1p1n/2P1Pp1P/r2P4/P2KN1P1/1N3B1R b - - 14 49,+6
1r4qb/p1p1p2r/3p1k1N/3B4/6b1/1PP1P1P1/n1QP3P/RNB2K1R w - - 3 24,+1327
6k1/5N2/5N2/5r2/P3P3/2PP4/8/6K1 b - - 20 146,-400
1rq1kb1r/2ppppp1/1p3n2/1p3N2/5P2/2PP3N/P1K1P1PP/2B1QB1R b - - 3 23,+118
r1bk1b1r/pp1pppp1/n6R/5n1p/1P5P/q1P2P2/1R1PP1P1/1NBQKB2 w - - 2 23,+1095
6r1/1pp3p1/p2kq3/8/1b1P2P1/PP2P1Kp/N1P2P2/R4R2 w - - 2 66,-61
2Q5/p1k5/8/1P6/1B1P4/1K6/3P3n/8 b - - 7 140,-387
rnbqk1rb/ppp1pp1p/5np1/8/2B5/3P2P1/PPP1PP1P/RNBQ1KNR w q - 8 11,+181
5k2/8/1Pb5/p1K5/P7/8/8/8 w - - 0 251,+15
1N6/4B3/7k/8/8/6K1/8/8 w - - 99 240,0
4N3/3p3p/2n5/4k2P/Pb4n1/4PP2/RPPPK1P1/2B5 b - - 0 42,-1170
rn5k/8/3p2pB/3P3p/1K2P2P/N4P2/PP6/3R4 w - - 43 86,+1042
8/3B4/5K2/1P6/8/8/5k2/8 w - - 25 209,+9
8/6K1/8/1PPP1P2/8/7k/8/8 w - - 3 218,+9
k7/4p2p/6N1/p5P1/q6P/1K2Pn2/PP3P2/R1R5 w - - 15 78,+1307
5k2/8/p7/P1p5/8/8/n3K3/8 b - - 1 135,+1327
2K5/5k2/8/7P/p1PP3B/P7/2P5/6RN b - - 70 141,-4
r1bqkbr1/1pp1pppp/p2p3n/Q1n5/8/P5P1/1P1PPPNP/RNB1KB1R w KQq - 0 13,-68
8/2B5/8/p1P5/4p3/P4P1k/RPK5/3N4 b - - 5 66,-1327
3R4/8/5k1K/7P/1P6/4P3/P3NP2/8 b - - 32 140,-7
N6k/2r5/8/8/P7/2PP4/4P3/5K1N w - - 1 124,+1327
6k1/4p3/8/p2p3p/P2R3n/4P3/1PP5/R2K4 w - - 0 80,+1246
7r/p1pp1p1p/b3r3/3n1kN1/P7/2P1PPP1/1P2B2P/R1B2K1R b - - 2 28,-462
4rk2/pp5p/4B3/8/4Pn2/3Pn3/PPPK1PPP/R5R1 b - - 7 50,-988
8/k6K/2PB4/8/8/8/8/8 w - - 38 287,+12
r1b2knr/pp1pppbp/2p3Q1/6q1/P5p1/2P4P/RP1PPPPR/1NB1KBN1 b - - 4 11,+1055
2n5/4pp2/4k2p/p7/5NPP/3P4/3PP3/1N1QK3 b - - 1 75,-1327
8/p2k4/5B2/4P3/3P1n1p/P6P/P1P1RP2/1K2R3 b - - 9 98,-1287
8/3p1p2/p1pP3k/1p6/8/3q4/K7/8 b - - 0 135,+5
8/1K4k1/P7/8/2P1P1P1/3P4/7P/8 w - - 1 177,+1327
1B6/p3k3/8/2K5/8/P4P2/1PP1b3/1R5B w - - 6 111,+1320
1rbqkb1r/p1p2ppp/n7/1p1pp2n/5P1P/2NPK1P1/PPP1P3/R1BQ1BNR w k - 0 10,-173
8/2K2P1k/8/7p/5N1P/8/8/8 w - - 7 196,+4
r7/p2kpp2/1p2b2R/3B4/P7/2P1P3/1P1PNPP1/RNBK1n2 w - - 1 30,+1327
r1b2q1r/pp1pkp1p/3p4/6b1/2PB1N2/3PnP2/P4PPP/R3KB1R w KQ - 6 23,-538
1R6/r5p1/1p6/1Pk5/P7/2KP4/8/8 b - - 6 124,+4
4Qq2/3p4/5p2/2n4P/2P2k2/5P2/3P4/R1BK1N2 b - - 2 67,-320
8/8/8/7K/7p/2k4P/8/8 w - - 50 265,+1086
8/4K3/8/5k2/8/2P5/8/8 b - - 16 219,-1
6k1/8/P7/7K/2P3N1/3PP1P1/7P/3R4 b - - 26 115,-5
8/5K2/2r5/6p1/8/6k1/1b6/8 b - - 20 201,+8
3r1Nk1/pp2pp1r/2n5/5bp1/1P3Pn1/3P4/P1P1P1PP/R1B1KBR1 w Q - 2 24,+696
N7/3R4/8/8/4k3/1p5K/1P6/8 w - - 51 108,+1320
3K2k1/8/p7/8/1PP5/P3B3/6b1/8 w - - 25 188,+997
6k1/1qpp4/p3N3/8/2P1P3/1n6/1P3B1K/8 w - - 13 99,-1085
8/5k2/8/4N1P1/1pK5/1P6/8/8 b - - 12 180,-1327
8/4KP2/2B5/8/8/8/3k4/8 w - - 57 240,+7
r1b1Bb2/pp1pp1p1/2p2k2/5p2/1n1q4/3P2P1/PnP1PP1r/1RQ1R1K1 b - - 9 34,+1
6k1/8/2P5/1P6/4K2P/8/8/8 b - - 12 166,-7
r1b2bnr/ppqk1pp1/n2p3p/2p3P1/7B/N2P4/PPP1PP1P/R2QKBNR w KQ - 5 12,+181
8/p2K1k2/P7/R3q2p/8/2P5/1P6/8 w - - 2 139,+1327
8/8/8/8/k7/8/6K1/1r6 w - - 0 240,-14
3q4/rbppprbk/p1n3pn/1B2Np2/5Pp1/4P3/PPPP1K1P/RNBQR3 b - - 6 20,+1040
1rbqk3/pppppprp/2n4n/8/7P/5BP1/PBPPPK2/RN1Q2NR w - - 1 21,+889
rk3r2/p2pp3/b5np/4b1p1/P3PNK1/8/1PPP1PPP/R1B1Q1R1 w - - 10 29,+1119
8/6K1/3B4/8/P7/P3PP2/2k5/4R3 w - - 0 85,+8
4B3/7K/5B2/8/6k1/8/8/8 b - - 28 361,-225
3R4/6K1/p2k4/8/7R/8/6P1/4N3 b - - 10 172,-12
3k3q/N1pp4/b7/5p1n/3n3P/4P1P1/PPPP1P2/R1BQKB2 w - - 1 27,+1250
8/7K/8/P3R3/8/6k1/8/8 w - - 63 240,+8
8/3k4/4N3/8/1p1P1K2/3R4/1P6/7b b - - 16 78,-982
2b2b1r/1pk1pq1p/r3N1p1/p1p5/1np5/4P3/PPPPBPPP/1RBK2R1 b - - 12 23,+1184
6r1/5N2/3k1PR1/3P3p/1p3P1P/8/8/K2R4 b - - 2 132,-7
8/p3pprk/6N1/8/4PP2/nP1PN3/P4K2/b7 b - - 6 61,+855
8/4pk1q/8/p4KP1/3P3P/P1P5/R1PB4/1N5b w - - 1 67,-5
8/3k4/3P4/P1P5/4PP1p/7P/5K2/8 b - - 0 144,-10
rnbqkbnr/ppp1pppp/8/8/8/3p3N/PPPP1PPP/RNBQK2R w KQkq - 0 4,-968
6K1/4B3/8/8/B7/5k2/8/8 w - - 13 354,+259
1k6/1rppbp1p/ppb4N/2R4N/PP4r1/8/2PPPPqP/2BQKBR1 b - - 10 24,-41
8/1k2B3/8/3K3P/p1PP4/P7/R1P1N3/8 w - - 3 108,+5
7r/5kp1/1p6/1P6/3P4/8/3K4/8 b - - 38 154,+17
7q/3p4/8/3P1N1k/2P3RP/1P2P3/P7/4Kn2 b - - 19 80,+1287
rnbqkbnr/pp1pp1pp/2p5/5pN1/8/8/PPPPPPPP/RNBQKB1R w KQkq - 0 3,+45
2R5/k7/2K5/8/2P5/4PP2/8/8 w - - 11 234,+2
8/3k4/3p1q2/3B4/6K1/8/8/8 b - - 2 156,+12
2q5/6k1/3N4/2Pn4/K2P4/8/8/8 w - - 18 150,+732
8/8/2k5/3N4/3PK3/8/8/8 w - - 24 180,+1294
8/p7/8/P2p3p/2b4K/2Pk2P1/8/8 b - - 1 102,+1307
6k1/4p3/8/p4pPq/3P3P/P1P3K1/R1PB4/1N5b w - - 5 65,-914
5br1/p1rbp1pp/1p1n1p2/3kP3/3P1B1P/1P3NP1/PKn5/R5R1 w - - 6 66,-505
r1b4k/p2p3p/4p1pn/1pn3b1/6PP/3P1rKB/PPP1PP2/RN3R2 w - - 2 26,-164
5q2/k3pN1p/8/p7/3n2PP/2K1P3/PP3P2/R1R5 b - - 2 69,+453
4K1n1/8/p7/P7/7k/8/8/8 w - - 18 175,0
8/3pn3/3B4/p4p1k/P3P3/3P1NrP/1PP5/3RK3 w - - 21 84,+1232
